"anon.id","experiment","coherence","exposures","passed.catch.trials"
"s0001","1b","nonce.connective",126,TRUE
"s0002","2","rime",126,TRUE
"s0003","old.vs.new","0/3",196,TRUE
"s0004","2","rime",392,TRUE
"s0005","1b","nonce.connective",56,TRUE
"s0006","2","rime",56,TRUE
"s0007","1b","nonce.connective",392,TRUE
"s0008","1a","2/3",196,TRUE
"s0009","2","rime",196,TRUE
"s0010","1a","0/3",196,TRUE
"s0011","1a","2/3",196,TRUE
"s0012","3","semantic.baseline",196,TRUE
"s0013","2","rime",126,TRUE
"s0014","1a","3/3",56,TRUE
"s0015","1a","0/3",196,TRUE
"s0016","1b","nonce.connective",126,TRUE
"s0017","1a","2/3",196,TRUE
"s0018","1a","1/3",56,TRUE
"s0019","1b","nonce.connective",56,TRUE
"s0020","2","rime",392,TRUE
"s0021","1a","3/3",56,TRUE
"s0022","1a","1/3",392,TRUE
"s0023","2","rime",196,TRUE
"s0024","1a","0/3",126,TRUE
"s0025","3","semantic.baseline",126,TRUE
"s0026","2","syllables",392,TRUE
"s0027","1a","1/3",56,FALSE
"s0028","1a","2/3",126,TRUE
"s0029","1b","nonce.connective",196,TRUE
"s0030","1a","1/3",56,FALSE
"s0031","2","syllables",126,TRUE
"s0032","1a","0/3",392,TRUE
"s0033","1b","nonce.connective",126,TRUE
"s0034","3","semantic.baseline",392,FALSE
"s0035","1b","nonce.connective",126,TRUE
"s0036","1b","nonce.connective",392,TRUE
"s0037","2","syllables",126,TRUE
"s0038","2","onset",196,TRUE
"s0039","2","syllables",126,FALSE
"s0040","2","onset",392,TRUE
"s0041","1b","nonce.connective",392,TRUE
"s0042","1b","nonce.connective",196,TRUE
"s0043","2","rime",392,FALSE
"s0044","1a","3/3",56,TRUE
"s0045","1a","0/3",196,TRUE
"s0046","1a","0/3",392,TRUE
"s0047","old.vs.new","3/3",56,FALSE
"s0048","old.vs.new","3/3",196,FALSE
"s0049","1b","nonce.connective",392,FALSE
"s0050","2","rime",196,TRUE
"s0051","3","semantic.baseline",392,TRUE
"s0052","1b","nonce.connective",392,TRUE
"s0053","2","rime",196,TRUE
"s0054","2","rime",126,TRUE
"s0055","1a","0/3",126,TRUE
"s0056","2","rime",126,TRUE
"s0057","3","semantic.baseline",126,FALSE
"s0058","1a","0/3",392,TRUE
"s0059","2","onset",196,TRUE
"s0060","1a","3/3",392,TRUE
"s0061","old.vs.new","0/3",56,TRUE
"s0062","3","semantic.baseline",392,TRUE
"s0063","1a","2/3",56,TRUE
"s0064","1a","2/3",126,TRUE
"s0065","2","rime",56,TRUE
"s0066","3","semantic.baseline",56,TRUE
"s0067","2","rime",392,FALSE
"s0068","old.vs.new","0/3",56,TRUE
"s0069","2","rime",126,TRUE
"s0070","3","semantic.baseline",56,TRUE
"s0071","1a","3/3",392,TRUE
"s0072","2","rime",392,TRUE
"s0073","2","onset",56,TRUE
"s0074","1a","3/3",392,TRUE
"s0075","1a","2/3",196,TRUE
"s0076","1a","1/3",392,TRUE
"s0077","1a","3/3",392,TRUE
"s0078","old.vs.new","3/3",56,TRUE
"s0079","1a","3/3",196,TRUE
"s0080","1a","1/3",56,TRUE
"s0081","old.vs.new","3/3",196,TRUE
"s0082","3","semantic.baseline",56,TRUE
"s0083","2","rime",56,TRUE
"s0084","old.vs.new","3/3",196,TRUE
"s0085","1a","1/3",126,TRUE
"s0086","1a","0/3",56,TRUE
"s0087","2","rime",56,TRUE
"s0088","1a","3/3",196,TRUE
"s0089","1a","3/3",392,TRUE
"s0090","old.vs.new","3/3",56,TRUE
"s0091","1a","3/3",126,TRUE
"s0092","2","rime",392,TRUE
"s0093","1a","1/3",392,TRUE
"s0094","2","syllables",56,TRUE
"s0095","3","semantic.baseline",56,TRUE
"s0096","1a","3/3",196,TRUE
"s0097","1b","nonce.connective",56,TRUE
"s0098","1a","2/3",56,TRUE
"s0099","1a","1/3",126,TRUE
"s0100","1a","3/3",196,TRUE
"s0101","1a","1/3",56,TRUE
"s0102","2","rime",126,TRUE
"s0103","2","syllables",56,TRUE
"s0104","2","syllables",56,TRUE
"s0105","2","syllables",392,TRUE
"s0106","old.vs.new","0/3",56,TRUE
"s0107","1a","0/3",196,TRUE
"s0108","2","rime",126,TRUE
"s0109","1a","3/3",126,TRUE
"s0110","1a","1/3",196,TRUE
"s0111","1a","0/3",196,TRUE
"s0112","1a","0/3",196,TRUE
"s0113","1a","3/3",126,TRUE
"s0114","2","onset",196,TRUE
"s0115","old.vs.new","0/3",196,TRUE
"s0116","1a","1/3",196,TRUE
"s0117","1a","0/3",196,TRUE
"s0118","2","rime",196,FALSE
"s0119","2","onset",126,TRUE
"s0120","2","rime",392,TRUE
"s0121","2","onset",126,TRUE
"s0122","1a","1/3",392,TRUE
"s0123","old.vs.new","3/3",196,TRUE
"s0124","3","semantic.baseline",392,TRUE
"s0125","1a","0/3",392,TRUE
"s0126","1a","3/3",196,TRUE
"s0127","1a","0/3",196,TRUE
"s0128","1b","nonce.connective",126,TRUE
"s0129","old.vs.new","0/3",56,TRUE
"s0130","1a","2/3",392,TRUE
"s0131","3","semantic.baseline",392,FALSE
"s0132","old.vs.new","3/3",196,TRUE
"s0133","old.vs.new","0/3",56,TRUE
"s0134","2","onset",126,TRUE
"s0135","1a","2/3",196,TRUE
"s0136","1a","0/3",126,TRUE
"s0137","1a","3/3",56,TRUE
"s0138","1b","nonce.connective",196,TRUE
"s0139","1a","0/3",392,TRUE
"s0140","1a","2/3",126,TRUE
"s0141","1b","nonce.connective",56,TRUE
"s0142","2","rime",196,TRUE
"s0143","1a","2/3",392,TRUE
"s0144","2","rime",196,TRUE
"s0145","old.vs.new","0/3",196,TRUE
"s0146","2","syllables",56,TRUE
"s0147","1a","0/3",392,TRUE
"s0148","1a","0/3",392,TRUE
"s0149","1a","1/3",196,FALSE
"s0150","2","rime",56,TRUE
"s0151","3","semantic.baseline",392,FALSE
"s0152","1b","nonce.connective",196,TRUE
"s0153","1a","1/3",56,TRUE
"s0154","1a","1/3",126,TRUE
"s0155","1a","1/3",196,TRUE
"s0156","old.vs.new","3/3",196,TRUE
"s0157","old.vs.new","3/3",56,TRUE
"s0158","2","syllables",126,TRUE
"s0159","2","onset",126,TRUE
"s0160","1a","1/3",56,TRUE
"s0161","2","onset",56,TRUE
"s0162","1b","nonce.connective",56,FALSE
"s0163","1b","nonce.connective",392,FALSE
"s0164","2","syllables",126,TRUE
"s0165","1a","3/3",196,TRUE
"s0166","1a","1/3",196,TRUE
"s0167","1a","1/3",392,TRUE
"s0168","2","syllables",196,TRUE
"s0169","old.vs.new","0/3",196,TRUE
"s0170","2","rime",126,TRUE
"s0171","1a","0/3",126,TRUE
"s0172","2","onset",56,TRUE
"s0173","2","onset",196,TRUE
"s0174","1a","2/3",392,TRUE
"s0175","1a","0/3",392,TRUE
"s0176","1a","2/3",56,TRUE
"s0177","2","onset",392,TRUE
"s0178","2","onset",196,TRUE
"s0179","2","syllables",392,TRUE
"s0180","2","onset",392,TRUE
"s0181","1a","0/3",392,TRUE
"s0182","1a","0/3",392,TRUE
"s0183","1b","nonce.connective",126,FALSE
"s0184","1a","2/3",392,TRUE
"s0185","2","rime",56,TRUE
"s0186","2","onset",196,TRUE
"s0187","2","rime",196,TRUE
"s0188","2","rime",126,TRUE
"s0189","3","semantic.baseline",56,TRUE
"s0190","1a","0/3",56,FALSE
"s0191","2","rime",392,TRUE
"s0192","1a","1/3",196,TRUE
"s0193","1a","1/3",392,TRUE
"s0194","1a","0/3",196,TRUE
"s0195","2","onset",392,TRUE
"s0196","2","rime",196,TRUE
"s0197","1a","0/3",392,TRUE
"s0198","1a","0/3",392,TRUE
"s0199","3","semantic.baseline",392,FALSE
"s0200","3","semantic.baseline",392,TRUE
"s0201","2","syllables",392,TRUE
"s0202","3","semantic.baseline",196,TRUE
"s0203","2","onset",56,TRUE
"s0204","3","semantic.baseline",392,TRUE
"s0205","1a","2/3",56,TRUE
"s0206","1a","3/3",392,TRUE
"s0207","1a","1/3",56,TRUE
"s0208","2","rime",196,TRUE
"s0209","1b","nonce.connective",56,TRUE
"s0210","3","semantic.baseline",56,TRUE
"s0211","1a","3/3",126,TRUE
"s0212","old.vs.new","3/3",56,FALSE
"s0213","1a","3/3",392,TRUE
"s0214","2","onset",56,TRUE
"s0215","2","syllables",196,TRUE
"s0216","1a","0/3",126,FALSE
"s0217","1a","0/3",126,TRUE
"s0218","1a","0/3",196,FALSE
"s0219","3","semantic.baseline",126,TRUE
"s0220","1a","1/3",196,TRUE
"s0221","2","syllables",126,TRUE
"s0222","2","syllables",196,TRUE
"s0223","2","syllables",196,TRUE
"s0224","1a","2/3",56,TRUE
"s0225","1a","3/3",56,TRUE
"s0226","1a","3/3",56,TRUE
"s0227","2","syllables",126,TRUE
"s0228","old.vs.new","3/3",196,TRUE
"s0229","1a","3/3",126,TRUE
"s0230","2","syllables",56,TRUE
"s0231","1a","1/3",196,TRUE
"s0232","1b","nonce.connective",392,TRUE
"s0233","old.vs.new","0/3",196,TRUE
"s0234","1a","2/3",392,TRUE
"s0235","3","semantic.baseline",126,TRUE
"s0236","1a","3/3",56,TRUE
"s0237","1a","1/3",196,TRUE
"s0238","1a","2/3",196,FALSE
"s0239","1a","3/3",126,TRUE
"s0240","2","syllables",196,TRUE
"s0241","2","syllables",126,TRUE
"s0242","old.vs.new","0/3",56,TRUE
"s0243","1a","0/3",56,TRUE
"s0244","2","onset",196,TRUE
"s0245","1a","1/3",196,TRUE
"s0246","1a","3/3",126,FALSE
"s0247","1a","2/3",196,TRUE
"s0248","1a","3/3",56,TRUE
"s0249","1a","0/3",196,TRUE
"s0250","1a","1/3",392,TRUE
"s0251","1a","2/3",196,FALSE
"s0252","2","syllables",392,TRUE
"s0253","2","onset",392,TRUE
"s0254","1a","1/3",126,TRUE
"s0255","old.vs.new","3/3",56,TRUE
"s0256","3","semantic.baseline",126,TRUE
"s0257","2","onset",392,TRUE
"s0258","1b","nonce.connective",56,TRUE
"s0259","2","syllables",56,TRUE
"s0260","old.vs.new","0/3",56,TRUE
"s0261","2","syllables",196,TRUE
"s0262","1a","3/3",126,TRUE
"s0263","2","rime",126,TRUE
"s0264","1a","1/3",392,TRUE
"s0265","old.vs.new","3/3",56,TRUE
"s0266","2","rime",126,TRUE
"s0267","old.vs.new","3/3",196,TRUE
"s0268","1a","1/3",56,FALSE
"s0269","2","rime",56,TRUE
"s0270","1a","1/3",392,TRUE
"s0271","2","syllables",56,TRUE
"s0272","old.vs.new","3/3",196,TRUE
"s0273","1a","1/3",56,TRUE
"s0274","3","semantic.baseline",196,TRUE
"s0275","1a","3/3",196,TRUE
"s0276","2","onset",126,TRUE
"s0277","old.vs.new","3/3",56,TRUE
"s0278","1b","nonce.connective",56,TRUE
"s0279","1a","0/3",56,TRUE
"s0280","1a","2/3",196,TRUE
"s0281","2","onset",392,TRUE
"s0282","old.vs.new","0/3",196,TRUE
"s0283","3","semantic.baseline",56,TRUE
"s0284","old.vs.new","0/3",56,TRUE
"s0285","1a","3/3",392,TRUE
"s0286","2","syllables",392,TRUE
"s0287","2","rime",126,TRUE
"s0288","2","rime",56,TRUE
"s0289","1a","0/3",392,TRUE
"s0290","2","rime",126,TRUE
"s0291","3","semantic.baseline",126,TRUE
"s0292","2","rime",126,TRUE
"s0293","1a","1/3",126,TRUE
"s0294","1a","2/3",126,FALSE
"s0295","2","rime",196,TRUE
"s0296","3","semantic.baseline",196,FALSE
"s0297","1a","3/3",196,TRUE
"s0298","1b","nonce.connective",196,TRUE
"s0299","1b","nonce.connective",56,TRUE
"s0300","1a","1/3",392,TRUE
"s0301","2","rime",196,TRUE
"s0302","1b","nonce.connective",196,TRUE
"s0303","old.vs.new","3/3",196,FALSE
"s0304","1a","1/3",126,TRUE
"s0305","1a","0/3",392,TRUE
"s0306","1a","0/3",126,TRUE
"s0307","1a","0/3",126,TRUE
"s0308","3","semantic.baseline",56,TRUE
"s0309","1a","3/3",196,TRUE
"s0310","old.vs.new","0/3",56,TRUE
"s0311","2","rime",392,TRUE
"s0312","1a","0/3",196,TRUE
"s0313","2","onset",126,TRUE
"s0314","1a","2/3",392,TRUE
"s0315","1a","0/3",56,TRUE
"s0316","1a","2/3",196,TRUE
"s0317","1a","0/3",126,TRUE
"s0318","1a","3/3",196,TRUE
"s0319","1b","nonce.connective",56,TRUE
"s0320","1a","3/3",56,TRUE
"s0321","1a","3/3",56,TRUE
"s0322","1a","1/3",126,TRUE
"s0323","2","onset",56,TRUE
"s0324","1a","3/3",196,TRUE
"s0325","1a","2/3",56,TRUE
"s0326","1a","1/3",196,TRUE
"s0327","2","syllables",392,TRUE
"s0328","1a","3/3",392,TRUE
"s0329","1b","nonce.connective",56,TRUE
"s0330","2","onset",196,TRUE
"s0331","old.vs.new","0/3",196,TRUE
"s0332","2","rime",126,TRUE
"s0333","2","onset",196,TRUE
"s0334","1a","0/3",392,TRUE
"s0335","2","rime",392,TRUE
"s0336","2","syllables",56,TRUE
"s0337","1a","2/3",56,FALSE
"s0338","2","onset",56,TRUE
"s0339","2","rime",56,TRUE
"s0340","2","onset",126,TRUE
"s0341","2","syllables",126,TRUE
"s0342","1a","1/3",56,TRUE
"s0343","1a","2/3",196,TRUE
"s0344","2","syllables",126,TRUE
"s0345","2","onset",126,TRUE
"s0346","1a","1/3",392,TRUE
"s0347","1a","2/3",56,TRUE
"s0348","2","rime",56,TRUE
"s0349","1b","nonce.connective",126,TRUE
"s0350","2","syllables",392,TRUE
"s0351","2","rime",56,TRUE
"s0352","2","rime",56,TRUE
"s0353","2","syllables",56,TRUE
"s0354","1b","nonce.connective",392,TRUE
"s0355","1a","2/3",392,TRUE
"s0356","2","onset",126,TRUE
"s0357","1a","3/3",126,TRUE
"s0358","1a","1/3",56,FALSE
"s0359","2","syllables",196,TRUE
"s0360","old.vs.new","3/3",196,TRUE
"s0361","1a","2/3",56,FALSE
"s0362","1b","nonce.connective",392,TRUE
"s0363","1a","0/3",56,FALSE
"s0364","2","rime",196,TRUE
"s0365","1a","2/3",196,TRUE
"s0366","1b","nonce.connective",126,TRUE
"s0367","3","semantic.baseline",126,TRUE
"s0368","3","semantic.baseline",392,TRUE
"s0369","1a","1/3",196,TRUE
"s0370","2","onset",392,TRUE
"s0371","2","onset",196,TRUE
"s0372","1a","1/3",56,TRUE
"s0373","3","semantic.baseline",196,TRUE
"s0374","3","semantic.baseline",392,TRUE
"s0375","2","onset",56,TRUE
"s0376","2","syllables",126,TRUE
"s0377","1a","2/3",196,TRUE
"s0378","1a","0/3",196,TRUE
"s0379","1a","0/3",392,TRUE
"s0380","1a","1/3",56,TRUE
"s0381","1a","2/3",126,TRUE
"s0382","2","syllables",56,TRUE
"s0383","3","semantic.baseline",196,TRUE
"s0384","1a","0/3",126,TRUE
"s0385","3","semantic.baseline",56,TRUE
"s0386","old.vs.new","3/3",56,TRUE
"s0387","1b","nonce.connective",56,TRUE
"s0388","1a","3/3",392,TRUE
"s0389","1b","nonce.connective",56,FALSE
"s0390","2","onset",392,TRUE
"s0391","3","semantic.baseline",126,TRUE
"s0392","1a","1/3",56,TRUE
"s0393","3","semantic.baseline",56,TRUE
"s0394","old.vs.new","3/3",196,TRUE
"s0395","1a","1/3",196,TRUE
"s0396","1a","2/3",56,TRUE
"s0397","1a","1/3",392,TRUE
"s0398","old.vs.new","0/3",196,TRUE
"s0399","3","semantic.baseline",126,TRUE
"s0400","1a","1/3",196,TRUE
"s0401","2","rime",56,TRUE
"s0402","2","syllables",56,FALSE
"s0403","1a","0/3",126,TRUE
"s0404","old.vs.new","0/3",56,TRUE
"s0405","old.vs.new","0/3",56,TRUE
"s0406","1a","1/3",392,TRUE
"s0407","2","onset",56,TRUE
"s0408","2","syllables",56,FALSE
"s0409","1a","1/3",126,TRUE
"s0410","3","semantic.baseline",126,TRUE
"s0411","2","onset",196,TRUE
"s0412","2","rime",126,FALSE
"s0413","2","rime",126,TRUE
"s0414","1a","1/3",56,FALSE
"s0415","1a","3/3",56,TRUE
"s0416","1a","3/3",392,TRUE
"s0417","1a","2/3",196,TRUE
"s0418","1b","nonce.connective",392,TRUE
"s0419","2","onset",196,TRUE
"s0420","1a","0/3",126,TRUE
"s0421","3","semantic.baseline",56,TRUE
"s0422","1a","2/3",126,TRUE
"s0423","old.vs.new","3/3",56,TRUE
"s0424","1a","0/3",196,TRUE
"s0425","2","syllables",56,TRUE
"s0426","1a","3/3",56,TRUE
"s0427","1a","0/3",392,TRUE
"s0428","2","onset",56,TRUE
"s0429","1b","nonce.connective",56,TRUE
"s0430","1a","1/3",56,TRUE
"s0431","1a","2/3",196,TRUE
"s0432","1a","1/3",126,TRUE
"s0433","1a","3/3",126,TRUE
"s0434","3","semantic.baseline",126,TRUE
"s0435","2","syllables",126,TRUE
"s0436","1b","nonce.connective",56,TRUE
"s0437","old.vs.new","0/3",196,TRUE
"s0438","1a","2/3",56,TRUE
"s0439","2","syllables",392,TRUE
"s0440","1a","3/3",126,TRUE
"s0441","old.vs.new","0/3",56,TRUE
"s0442","1a","0/3",196,TRUE
"s0443","1a","0/3",126,TRUE
"s0444","3","semantic.baseline",56,TRUE
"s0445","2","rime",196,TRUE
"s0446","2","syllables",56,TRUE
"s0447","2","onset",392,TRUE
"s0448","1a","1/3",392,TRUE
"s0449","1a","2/3",392,TRUE
"s0450","2","onset",392,TRUE
"s0451","2","onset",196,TRUE
"s0452","1a","0/3",56,TRUE
"s0453","3","semantic.baseline",392,TRUE
"s0454","2","rime",196,FALSE
"s0455","2","rime",56,FALSE
"s0456","1a","1/3",196,TRUE
"s0457","1b","nonce.connective",126,TRUE
"s0458","2","onset",392,TRUE
"s0459","1a","1/3",56,FALSE
"s0460","2","onset",56,FALSE
"s0461","1b","nonce.connective",392,TRUE
"s0462","3","semantic.baseline",392,TRUE
"s0463","old.vs.new","0/3",56,TRUE
"s0464","1a","1/3",126,TRUE
"s0465","1a","3/3",126,TRUE
"s0466","1a","2/3",392,TRUE
"s0467","1a","1/3",196,FALSE
"s0468","2","syllables",392,FALSE
"s0469","2","onset",56,TRUE
"s0470","1a","1/3",392,TRUE
"s0471","1b","nonce.connective",56,TRUE
"s0472","2","onset",196,TRUE
"s0473","1a","2/3",196,TRUE
"s0474","2","syllables",196,TRUE
"s0475","2","onset",392,TRUE
"s0476","1a","2/3",392,TRUE
"s0477","old.vs.new","0/3",56,TRUE
"s0478","2","rime",196,FALSE
"s0479","2","syllables",196,TRUE
"s0480","1b","nonce.connective",126,TRUE
"s0481","2","onset",392,TRUE
"s0482","1a","2/3",392,TRUE
"s0483","1a","1/3",126,TRUE
"s0484","2","onset",392,TRUE
"s0485","2","syllables",56,TRUE
"s0486","3","semantic.baseline",392,TRUE
"s0487","old.vs.new","3/3",56,TRUE
"s0488","2","onset",56,TRUE
"s0489","2","onset",56,TRUE
"s0490","2","onset",196,TRUE
"s0491","2","rime",196,FALSE
"s0492","old.vs.new","3/3",196,FALSE
"s0493","1a","2/3",126,TRUE
"s0494","2","rime",392,TRUE
"s0495","old.vs.new","0/3",196,TRUE
"s0496","1a","3/3",392,TRUE
"s0497","2","rime",56,TRUE
"s0498","1b","nonce.connective",126,TRUE
"s0499","1a","3/3",196,TRUE
"s0500","2","rime",56,TRUE
"s0501","2","onset",196,TRUE
"s0502","2","rime",392,FALSE
"s0503","2","syllables",126,TRUE
"s0504","3","semantic.baseline",56,TRUE
"s0505","2","rime",392,TRUE
"s0506","3","semantic.baseline",126,TRUE
"s0507","2","syllables",56,TRUE
"s0508","3","semantic.baseline",196,TRUE
"s0509","3","semantic.baseline",56,TRUE
"s0510","2","syllables",196,TRUE
"s0511","1a","3/3",126,TRUE
"s0512","3","semantic.baseline",56,FALSE
"s0513","2","onset",392,FALSE
"s0514","1a","0/3",196,TRUE
"s0515","2","rime",126,TRUE
"s0516","2","rime",56,TRUE
"s0517","1a","0/3",196,TRUE
"s0518","1a","3/3",196,TRUE
"s0519","1a","1/3",196,TRUE
"s0520","3","semantic.baseline",56,TRUE
"s0521","2","rime",56,TRUE
"s0522","1b","nonce.connective",392,TRUE
"s0523","2","syllables",392,TRUE
"s0524","3","semantic.baseline",392,FALSE
"s0525","1a","3/3",196,TRUE
"s0526","2","syllables",392,TRUE
"s0527","1a","2/3",196,TRUE
"s0528","2","rime",126,TRUE
"s0529","2","onset",196,TRUE
"s0530","1b","nonce.connective",196,TRUE
"s0531","1a","1/3",196,TRUE
"s0532","2","onset",392,TRUE
"s0533","old.vs.new","3/3",196,TRUE
"s0534","1a","0/3",126,TRUE
"s0535","1a","2/3",392,TRUE
"s0536","3","semantic.baseline",56,TRUE
"s0537","1a","2/3",126,TRUE
"s0538","1a","1/3",196,FALSE
"s0539","1a","1/3",392,TRUE
"s0540","1a","3/3",196,TRUE
"s0541","3","semantic.baseline",126,TRUE
"s0542","1a","2/3",392,TRUE
"s0543","2","rime",392,TRUE
"s0544","1a","1/3",392,FALSE
"s0545","3","semantic.baseline",392,TRUE
"s0546","1a","0/3",392,TRUE
"s0547","3","semantic.baseline",56,TRUE
"s0548","old.vs.new","3/3",196,TRUE
"s0549","1a","1/3",392,TRUE
"s0550","2","syllables",56,TRUE
"s0551","2","onset",56,TRUE
"s0552","2","rime",56,TRUE
"s0553","2","rime",196,TRUE
"s0554","1a","1/3",56,TRUE
"s0555","2","syllables",196,TRUE
"s0556","1a","1/3",196,TRUE
"s0557","old.vs.new","3/3",56,TRUE
"s0558","3","semantic.baseline",56,TRUE
"s0559","1b","nonce.connective",392,FALSE
"s0560","2","rime",126,TRUE
"s0561","old.vs.new","3/3",56,TRUE
"s0562","1b","nonce.connective",196,TRUE
"s0563","1a","1/3",126,TRUE
